Theme;Health;Health;Health;Economic security;Safety;Safety;Education;Children;Families;Access;Environ-ment;Happiness;;;;;;;;;;;;;;;;;;;;
Indicator name;Life Expectancy;Childhood Obesity;Incapacity Benefits claimant rate;Unemployment rate;Crime rate;Deliberate Fires;GCSE point scores;Unauthorised Pupil Absence;Children in out-of-work households;Public Transport Accessibility Scores;Access to public open space & nature;Subjective well-being average score;;;;;;;;;;;;;;;;;;;;
Importance;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
"
10 = very important and 
0 = not important at all";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Overall well-being probability score (E&W = 0);;;;;;;;;;;;;;;;;;;;;;;;;;;
Enfield;E05000198;Enfield Highway;;;-8;-8;-8;-8;-21;;-3,3;;;;0;0;0;-13;;;;;;;;;;;;;;
Enfield;E05000199;Enfield Lock;;;-17;-17;-17;-17;-21;;-0,9;;;;0;0;0;-4;;;;;;;;;;;;;;
Enfield;E05000200;Grange;;;-13;-13;-13;-13;-21;;-2,0;;;;0;0;0;-8;;;;;;;;;;;;;;
Enfield;E05000201;Haselbury;;;4;4;4;4;-11;;-3,7;;;;0;0;0;-15;;;;;;;;;;;;;;
Enfield;E05000202;Highlands;;;4;4;4;4;-14;;-4,3;;;;0;0;0;-17;;;;;;;;;;;;;;
Enfield;E05000203;Jubilee;;;-4;-4;-4;-4;-11;;-1,7;;;;0;0;0;-7;;;;;;;;;;;;;;
Enfield;E05000204;Lower Edmonton;;;-7;-7;-7;-7;-11;;-0,9;;;;0;0;0;-4;;;;;;;;;;;;;;
Enfield;E05000205;Palmers Green;;;-1;-1;-1;-1;-14;;-3,2;;;;0;0;0;-13;;;;;;;;;;;;;;
Enfield;E05000206;Ponders End;;;-11;-11;-11;-11;-11;;0,1;;;;0;0;0;0;;;;;;;;;;;;;;
Enfield;E05000207;Southbury;;;-10;-10;-10;-10;-21;;-2,6;;;;0;0;0;-11;;;;;;;;;;;;;;
Enfield;E05000208;Southgate;;;9;9;9;9;-14;;-5,6;;;;0;0;0;-22;;;;;;;;;;;;;;
Enfield;E05000209;Southgate Green;;;-13;-13;-13;-13;-14;;-0,2;;;;0;0;0;-1;;;;;;;;;;;;;;
Enfield;E05000210;Town;;;4;4;4;4;-21;;-6,1;;;;0;0;0;-24;;;;;;;;;;;;;;
