Code;Ward name;LAD code;Borough;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13
E05000124;Petts Wood and Knoll;E09000006;Bromley;42250;42960;45050;47990;49000;52210;53260;57240;57400;59700;61970;63410;;33040;33660;34770;36960;37150;39430;40690;42060;43990;45270;47560;48530
E05000125;Plaistow and Sundridge;E09000006;Bromley;34820;35190;36690;38890;39530;41940;42620;45650;45630;47320;48980;50000;;27920;28300;29090;30780;30820;32590;33520;34550;36030;36980;38760;39460
E05000126;Shortlands;E09000006;Bromley;41320;42070;44160;47100;48130;51330;52410;56360;56560;58870;61150;62610;;32420;33070;34190;36380;36590;38870;40140;41520;43450;44740;47030;48020
E05000127;West Wickham;E09000006;Bromley;40830;41380;43260;45960;46810;49760;50650;54330;54390;56480;58550;59830;;32100;32610;33600;35630;35740;37850;39000;40250;42030;43200;45330;46210
E05000128;Belsize;E09000007;Camden;56820;57740;60510;64410;65710;69940;71270;76500;76610;79570;82480;84280;;36220;36880;38080;40440;40620;43080;44420;45870;47920;49250;51680;52680
E05000129;Bloomsbury;E09000007;Camden;42500;42990;44870;47630;48480;51520;52460;56290;56380;58590;60790;62190;;28070;28470;29290;31030;31110;32950;33950;35050;36610;37650;39540;40340
E05000130;Camden Town with Primrose Hill;E09000007;Camden;48420;49140;51440;54720;55810;59390;60520;64970;65070;67610;70100;71650;;31570;32120;33130;35170;35320;37450;38610;39880;41670;42840;44960;45840
E05000131;Cantelowes;E09000007;Camden;42150;42530;44290;46890;47620;50480;51280;54880;54840;56860;58850;60060;;27850;28190;28940;30590;30600;32330;33230;34230;35680;36610;38370;39060
E05000132;Fortune Green;E09000007;Camden;51020;51620;53850;57110;58050;61600;62600;67030;66990;69460;71890;73370;;33050;33520;34480;36510;36560;38660;39770;40990;42740;43860;45970;46800
E05000133;Frognal and Fitzjohns;E09000007;Camden;66900;68010;71260;75860;77390;82370;83940;90110;90270;93790;97260;99430;;41420;42180;43540;46240;46440;49240;50780;52440;54800;56340;59140;60310
E05000134;Gospel Oak;E09000007;Camden;41980;42560;44500;47300;48190;51250;52180;55980;56030;58180;60290;61590;;27750;28200;29070;30830;30940;32780;33780;34870;36410;37410;39240;39990
E05000135;Hampstead Town;E09000007;Camden;70910;72100;75560;80430;82030;87280;88880;95340;95400;99020;102560;104710;;43380;44190;45620;48450;48650;51560;53140;54850;57270;58830;61700;62840
E05000136;Haverstock;E09000007;Camden;39890;40130;41660;43970;44510;47030;47610;50780;50560;52230;53850;54740;;26450;26690;27310;28790;28700;30230;30970;31790;33030;33760;35240;35730
E05000137;Highgate;E09000007;Camden;49810;50660;53120;56620;57840;61660;62950;67700;67940;70730;73480;75250;;32370;32980;34080;36230;36440;38700;39960;41340;43270;44560;46850;47840
E05000138;Holborn and Covent Garden;E09000007;Camden;43020;43460;45290;48000;48780;51770;52630;56380;56390;58510;60620;61920;;28390;28750;29540;31260;31290;33090;34050;35100;36620;37610;39440;40180
E05000139;Kentish Town;E09000007;Camden;43680;44210;46170;49010;49880;53010;53940;57850;57900;60120;62310;63670;;28780;29210;30070;31860;31940;33820;34830;35940;37520;38560;40450;41230
E05000140;Kilburn;E09000007;Camden;38220;38460;39940;42180;42740;45220;45830;48960;48830;50530;52210;53190;;25390;25620;26230;27660;27600;29090;29850;30680;31920;32690;34180;34730
E05000141;King's Cross;E09000007;Camden;36590;36760;38130;40220;40700;43020;43560;46500;46340;47930;49480;50390;;24330;24510;25060;26380;26300;27690;28380;29140;30290;31000;32390;32890
